Country,year,num_conflicts,avg_intensity,max_intensity,avg_duration,total_duration,conflict_type_count,has_territory_conflict,has_government_conflict,has_both_conflict,conflicts_past_3years,intensity_past_3years
Cameroon,1959,1,1,1,822,822,1,1,0,0,1,1
Cameroon,1960,1,2,2,,0,1,0,1,0,1,1.333333333
Cameroon,1961,1,1,1,700,700,1,0,1,0,1,1.333333333
Cameroon,1984,1,1,1,3,3,1,0,1,0,1,1.333333333
Cameroon,2015,2,1,1,,0,1,1,1,0,1.333333333,1
Cameroon,2016,2,1,1,422,422,1,1,1,0,1.666666667,1
Cameroon,2017,2,1,1,1056,1056,1,1,1,0,2,1
Cameroon,2018,1,1,1,,0,1,1,0,0,1.666666667,1
Cameroon,2019,2,1,1,143,143,2,1,0,0,1.666666667,1
Cameroon,2020,2,1,1,78,78,1,1,1,0,1.666666667,1
Cameroon,2021,2,1,1,142,142,2,1,0,0,2,1
Cameroon,2022,2,1,1,,0,1,1,1,0,2,1
Cameroon,2023,3,1,1,,0,1,1,1,0,2.333333333,1
"Cameroon, Nigeria",1996,1,1,1,0,0,1,1,0,0,1,1
Central African Republic,2001,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2002,1,1,1,566,566,1,0,1,0,1,1
Central African Republic,2006,1,1,1,3,3,1,0,1,0,1,1
Central African Republic,2009,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2010,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2011,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2012,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2013,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2014,1,1,1,1784,1784,1,0,1,0,1,1
Central African Republic,2015,1,1,1,0,0,1,1,0,0,1,1
Central African Republic,2017,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2018,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2019,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2020,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2021,1,1,1,,0,1,0,1,0,1,1
Central African Republic,2022,1,1,1,,0,1,0,1,0,1,1
